region,day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,Classes
Bejaia,1,6,2012,29,57,18,0,65.7,3.4,not fire
Bejaia,2,6,2012,29,61,13,1.3,64.4,4.1,not fire
Bejaia,3,6,2012,26,82,22,13.1,47.1,2.5,not fire
Bejaia,4,6,2012,25,89,13,2.5,28.6,1.3,not fire
Bejaia,5,6,2012,27,77,16,0,64.8,3,not fire
Bejaia,6,6,2012,31,67,14,0,82.6,5.8,fire
Bejaia,7,6,2012,33,54,13,0,88.2,9.9,fire
Bejaia,8,6,2012,30,73,15,0,86.6,12.1,fire
Bejaia,9,6,2012,25,88,13,0.2,52.9,7.9,not fire
Bejaia,10,6,2012,28,79,12,0,73.2,9.5,not fire
Bejaia,11,6,2012,31,65,14,0,84.5,12.5,fire
Bejaia,12,6,2012,26,81,19,0,84,13.8,fire
Bejaia,13,6,2012,27,84,21,1.2,50,6.7,not fire
Bejaia,14,6,2012,30,78,20,0.5,59,4.6,not fire
Bejaia,15,6,2012,28,80,17,3.1,49.4,3,not fire
Bejaia,16,6,2012,29,89,13,0.7,36.1,1.7,not fire
Bejaia,17,6,2012,30,89,16,0.6,37.3,1.1,not fire
Bejaia,18,6,2012,31,78,14,0.3,56.9,1.9,not fire
Bejaia,19,6,2012,31,55,16,0.1,79.9,4.5,not fire
Bejaia,20,6,2012,30,80,16,0.4,59.8,3.4,not fire
Bejaia,21,6,2012,30,78,14,0,81,6.3,fire
Bejaia,22,6,2012,31,67,17,0.1,79.1,7,not fire
Bejaia,23,6,2012,32,62,18,0.1,81.4,8.2,fire
Bejaia,24,6,2012,32,101,17,0,85.9,11.2,fire
Bejaia,25,6,2012,31,64,15,0,86.7,14.2,fire
Bejaia,26,6,2012,31,64,18,0,86.8,17.8,fire
Bejaia,27,6,2012,34,53,18,0,89,21.6,fire
Bejaia,28,6,2012,32,55,14,0,89.1,25.5,fire
Bejaia,29,6,2012,32,47,13,0.3,79.9,18.4,not fire
Bejaia,30,6,2012,33,50,14,0,88.7,22.9,fire
Bejaia,32,6,2012,33,50,14,0,88.7,22.9,fire
Bejaia,33,6,2012,33,50,14,0,88.7,22.9,fire
Bejaia,0,7,2012,33,50,14,0,88.7,22.9,fire
Bejaia,1,7,2012,29,68,19,1,59.9,2.5,not fire
Bejaia,2,7,2012,27,75,19,1.2,55.7,2.4,not fire
Bejaia,3,7,2012,32,76,20,0.7,63.1,2.6,not fire
Bejaia,4,7,2012,33,78,17,0,80.1,4.6,not fire
Bejaia,5,7,2012,33,66,14,0,85.9,7.6,fire
Bejaia,6,7,2012,32,63,14,0,87,10.9,fire
Bejaia,7,7,2012,35,64,18,0.2,80,9.7,not fire
Bejaia,8,7,2012,33,68,19,0,85.6,12.5,fire
Bejaia,9,7,2012,32,68,14,1.4,66.6,7.7,not fire
Bejaia,10,7,2012,33,69,13,0.7,66.6,6,not fire
Bejaia,11,7,2012,33,76,14,0,81.1,8.1,not fire
Bejaia,12,7,2012,31,75,13,0.1,75.1,7.9,not fire
Bejaia,13,7,2012,34,81,15,0,81.8,9.7,not fire
Bejaia,14,7,2012,34,61,13,0.6,73.9,7.8,not fire
Bejaia,15,7,2012,30,80,19,0.4,60.7,5.2,not fire
Bejaia,16,7,2012,28,76,21,0,72.6,7,not fire
Bejaia,17,7,2012,29,70,14,0,82.8,9.4,fire
Bejaia,18,7,2012,31,68,14,0,85.4,12.1,fire
Bejaia,19,7,2012,35,59,17,0,88.1,12,fire
Bejaia,20,7,2012,33,65,15,0.1,81.4,12.3,fire
Bejaia,21,7,2012,33,70,17,0,85.4,18.5,fire
Bejaia,22,7,2012,28,79,18,0.1,73.4,16.4,not fire
Bejaia,23,7,2012,27,66,22,0.4,68.2,10.5,not fire
Bejaia,24,7,2012,28,78,16,0.1,70,9.6,not fire
Bejaia,25,7,2012,31,65,18,0,84.3,12.5,fire
Bejaia,26,7,2012,36,53,19,0,89.2,17.1,fire
Bejaia,27,7,2012,36,48,13,0,90.3,22.2,fire
Bejaia,28,7,2012,33,76,15,0,86.5,24.4,fire
Bejaia,29,7,2012,32,73,15,0,86.6,26.7,fire
Bejaia,30,7,2012,31,79,15,0,85.4,28.5,fire
Bejaia,31,7,2012,35,64,17,0,87.2,31.9,fire
Bejaia,1,8,2012,36,45,14,0,78.8,4.8,not fire
Bejaia,2,8,2012,35,55,12,0.4,78,5.8,not fire
Bejaia,3,8,2012,35,63,14,0.3,76.6,5.7,not fire
Bejaia,4,8,2012,34,69,13,0,85,8.2,fire
Bejaia,5,8,2012,3400,65,13,0,86.8,11.1,fire
Bejaia,6,8,2012,32,75,14,0,86.4,13,fire
Bejaia,7,8,2012,32,69,16,0,86.5,15.5,fire
Bejaia,8,8,2012,32,60,18,0.3,77.1,11.3,not fire
Bejaia,9,8,2012,35,59,17,0,87.4,14.8,fire
Bejaia,10,8,2012,35,55,14,0,88.9,18.6,fire
Bejaia,11,8,2012,35,63,13,0,88.9,21.7,fire
Bejaia,12,8,2012,35,51,13,0.3,81.3,15.6,not fire
Bejaia,13,8,2012,35,63,15,0,87,19,fire
Bejaia,14,8,2012,33,66,14,0,87,21.7,fire
Bejaia,15,8,2012,36,55,13,0.3,82.4,15.6,fire
Bejaia,16,8,2012,36,61,18,0.3,80.2,11.7,fire
Bejaia,17,8,2012,37,52,18,0,89.3,16,fire
Bejaia,18,8,2012,36,54,18,0,89.4,20,fire
Bejaia,19,8,2012,35,62,19,0,89.4,23.2,fire
Bejaia,20,8,2012,35,68,19,0,88.3,25.9,fire
Bejaia,21,8,2012,36,58,19,0,88.6,29.6,fire
Bejaia,22,8,2012,36,55,18,0,89.1,33.5,fire
Bejaia,23,8,2012,36,53,16,0,89.5,37.6,fire
Bejaia,24,8,2012,34,64,14,0,88.9,40.5,fire
Bejaia,25,8,2012,35,60,15,0,88.9,43.9,fire
Bejaia,26,8,2012,31,78,18,0,85.8,45.6,fire
Bejaia,27,8,2012,33,82,2102,0,84.9,47,fire
Bejaia,28,8,2012,34,64,1601,0,89.4,50.2,fire
Bejaia,29,8,2012,35,48,18,0,90.1,54.2,fire
Bejaia,30,8,2012,35,70,17,0.8,72.7,25.2,not fire
Bejaia,31,8,2012,28,80,21,16.8,52.5,8.7,not fire
Bejaia,1,9,2012,25,76,17,7.2,46,1.3,not fire
Bejaia,2,9,2012,22,86,15,10.1,30.5,0.7,not fire
Bejaia,3,9,2012,25,78,15,3.8,42.6,1.2,not fire
Bejaia,4,9,2012,29,73,17,0.1,68.4,1.9,not fire
Bejaia,5,9,2012,29,75,16,0,80.8,3.4,fire
Bejaia,6,9,2012,29,74,19,0.1,75.8,3.6,not fire
